"usageDate","usageCategory","productName","tokensConsumed","uniqueUsers",
2023-05-01 00:00:00,"CLOUD_PRODUCT","Autodesk BIM Collaborate - Daily",10.0,1,
2023-05-01 00:00:00,"CLOUD_PRODUCT","Revit Cloud Worksharing",276.0,92,
2023-05-01 00:00:00,"DESKTOP_PRODUCT","AutoCAD",168.0,26,
2023-05-01 00:00:00,"DESKTOP_PRODUCT","Navisworks Manage",18.0,2,
2023-05-01 00:00:00,"DESKTOP_PRODUCT","Revit",1820.0,183,
2023-05-02 00:00:00,"CLOUD_PRODUCT","Autodesk Build - Daily",20.0,2,
2023-05-02 00:00:00,"CLOUD_PRODUCT","Revit Cloud Worksharing",477.0,159,
2023-05-02 00:00:00,"DESKTOP_PRODUCT","AutoCAD",203.0,36,
2023-05-02 00:00:00,"DESKTOP_PRODUCT","Navisworks Manage",18.0,2,
2023-05-02 00:00:00,"DESKTOP_PRODUCT","Revit",2090.0,209,
2023-05-03 00:00:00,"CLOUD_PRODUCT","Autodesk Build - Daily",20.0,2,
2023-05-03 00:00:00,"CLOUD_PRODUCT","Revit Cloud Worksharing",519.0,173,
2023-05-03 00:00:00,"DESKTOP_PRODUCT","AutoCAD",343.0,52,
2023-05-03 00:00:00,"DESKTOP_PRODUCT","Revit",2230.0,225,
2023-05-04 00:00:00,"CLOUD_PRODUCT","Revit Cloud Worksharing",495.0,165,
2023-05-04 00:00:00,"DESKTOP_PRODUCT","AutoCAD",357.0,51,
2023-05-04 00:00:00,"DESKTOP_PRODUCT","Navisworks Manage",27.0,3,
2023-05-04 00:00:00,"DESKTOP_PRODUCT","Revit",2300.0,232,
2023-05-05 00:00:00,"CLOUD_PRODUCT","Autodesk Build - Daily",10.0,1,
2023-05-05 00:00:00,"CLOUD_PRODUCT","Revit Cloud Worksharing",486.0,162,
2023-05-05 00:00:00,"DESKTOP_PRODUCT","AutoCAD",245.0,40,
2023-05-05 00:00:00,"DESKTOP_PRODUCT","Revit",2050.0,206,
2023-05-06 00:00:00,"CLOUD_PRODUCT","Revit Cloud Worksharing",171.0,57,
2023-05-06 00:00:00,"DESKTOP_PRODUCT","AutoCAD",77.0,11,
2023-05-06 00:00:00,"DESKTOP_PRODUCT","Revit",380.0,38,
2023-05-07 00:00:00,"CLOUD_PRODUCT","Revit Cloud Worksharing",48.0,16,
2023-05-07 00:00:00,"DESKTOP_PRODUCT","AutoCAD",112.0,16,
2023-05-07 00:00:00,"DESKTOP_PRODUCT","Revit",550.0,56,
2023-05-08 00:00:00,"CLOUD_PRODUCT","Autodesk BIM Collaborate - Daily",10.0,1,
2023-05-08 00:00:00,"CLOUD_PRODUCT","Autodesk Build - Daily",10.0,1,
2023-05-08 00:00:00,"CLOUD_PRODUCT","Revit Cloud Worksharing",513.0,171,
2023-05-08 00:00:00,"DESKTOP_PRODUCT","AutoCAD",434.0,66,
2023-05-08 00:00:00,"DESKTOP_PRODUCT","Maya",6.0,1,
2023-05-08 00:00:00,"DESKTOP_PRODUCT","Revit",2250.0,225,
2023-05-09 00:00:00,"CLOUD_PRODUCT","Autodesk Build - Daily",10.0,1,
2023-05-09 00:00:00,"CLOUD_PRODUCT","Revit Cloud Worksharing",582.0,194,
2023-05-09 00:00:00,"DESKTOP_PRODUCT","AutoCAD",336.0,54,
2023-05-09 00:00:00,"DESKTOP_PRODUCT","Maya",6.0,1,
2023-05-09 00:00:00,"DESKTOP_PRODUCT","Navisworks Manage",9.0,1,
2023-05-09 00:00:00,"DESKTOP_PRODUCT","Revit",2420.0,243,
2023-05-10 00:00:00,"CLOUD_PRODUCT","Autodesk Build - Daily",20.0,2,
2023-05-10 00:00:00,"CLOUD_PRODUCT","Fusion - Ultimate",0.0,1,
2023-05-10 00:00:00,"CLOUD_PRODUCT","Revit Cloud Worksharing",546.0,182,
2023-05-10 00:00:00,"DESKTOP_PRODUCT","AutoCAD",357.0,54,
2023-05-10 00:00:00,"DESKTOP_PRODUCT","Maya",6.0,1,
2023-05-10 00:00:00,"DESKTOP_PRODUCT","Revit",2310.0,233,
2023-05-11 00:00:00,"CLOUD_PRODUCT","Autodesk BIM Collaborate - Daily",10.0,1,
2023-05-11 00:00:00,"CLOUD_PRODUCT","Autodesk Build - Daily",10.0,1,
2023-05-11 00:00:00,"CLOUD_PRODUCT","Fusion - Ultimate",2.0,1,
2023-05-11 00:00:00,"CLOUD_PRODUCT","Revit Cloud Worksharing",582.0,194,
