usageDate,transactionDate,usageCategory,reasonType,productName,reasonComment,chargedItemID,tokensConsumed,quantity
5/31/2023 0:00,5/31/2023 15:24,MANUAL_ADJUSTMENT,Off network,BIM 360 Docs Enterprise Unlimited,"BIM Docs Enterprise Unlimited - 2,435 Tokens per month",110004354574-1685546652190,2435,1
6/30/2023 0:00,7/3/2023 20:33,MANUAL_ADJUSTMENT,Off network,BIM 360 Docs Enterprise Unlimited,"BIM Docs Enterprise Unlimited - 2,435 Tokens per month",110004354574-1688416400268,2435,1
7/31/2023 0:00,7/31/2023 16:42,MANUAL_ADJUSTMENT,Off network,BIM 360 Docs Enterprise Unlimited,"BIM Docs Enterprise Unlimited - 2,435 Tokens per month",110004354574-1690821713087,2435,1
7/31/2023 0:00,8/1/2023 14:23,MANUAL_CONSUMPTION,Off network,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1690899806366,500,500
7/31/2023 0:00,8/1/2023 13:28,MANUAL_CONSUMPTION,Off network,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1690896476695,1000,1000
7/31/2023 0:00,7/31/2023 21:41,MANUAL_CONSUMPTION,Off network,BIM 360 Team,BIM 360 Team - 19 Tokens Per User,110004354574-1690839658983,399,21
5/31/2023 0:00,6/2/2023 19:24,MANUAL_CONSUMPTION,Off network,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1685733830938,1000,1000
5/31/2023 0:00,6/2/2023 19:24,MANUAL_CONSUMPTION,Off network,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1685733875869,500,500
5/31/2023 0:00,6/2/2023 19:23,MANUAL_CONSUMPTION,Off network,BIM 360 Team,BIM 360 Team - 19 Tokens Per User,110004354574-1685733785303,399,21
6/30/2023 0:00,7/3/2023 20:31,MANUAL_CONSUMPTION,Off network,BIM 360 Team,BIM 360 Team - 19 Tokens Per User,110004354574-1688416291587,399,21
6/30/2023 0:00,7/3/2023 20:32,MANUAL_CONSUMPTION,Off network,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1688416365290,500,500
